version,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_grasp_success,tcp_grasp_lift_success,strict_grasp_lift_success,out_of_table,steps_taken,stop_reason,min_tcp_object_distance,min_tcp_object_distance_while_lifted,mean_action_norm,max_action_norm
preference_contact_aware_trajectory_post_training_v1_candidate,train_range,0,place_blue_cube_blue_pad,medium,True,0.011183057248086754,0.02489224457931369,0.1700824287432355,True,False,False,True,False,False,2840,,0.026794230085679133,0.02831693176543712,0.7443883118285259,1.5287212133407593
preference_contact_aware_trajectory_post_training_v1_candidate,train_range,1,place_blue_cube_blue_pad,medium,True,0.023765129326288686,0.024892244579612782,0.1902433091034576,True,False,False,True,False,False,2840,,0.007031927137026265,0.007181476638042109,0.7232215060734413,1.529563307762146
preference_contact_aware_trajectory_post_training_v1_candidate,train_range,2,place_blue_cube_blue_pad,medium,True,0.01298323940760588,0.02489224457973623,0.23033147325287107,True,False,False,True,False,False,2840,,0.02543210699889381,0.025878179371234617,1.1093979768559967,1.6732221841812134
preference_contact_aware_trajectory_post_training_v1_candidate,train_range,3,place_blue_cube_blue_pad,medium,True,0.04282866577977838,0.024892244579534137,0.1736787289114648,True,False,False,True,False,False,2840,,0.026305835126134318,0.027944416554795015,0.8036159241703195,1.5312445163726807
preference_contact_aware_trajectory_post_training_v1_candidate,train_range,4,place_blue_cube_blue_pad,medium,True,0.0060689053765328235,0.024892244579455044,0.1897755933624721,True,False,False,True,False,False,2840,,0.014353411220883001,0.014715042094153504,0.8105489000887938,1.531815767288208
preference_contact_aware_trajectory_post_training_v1_candidate,heldout,100,place_blue_cube_blue_pad,medium,False,0.2890239496147014,0.024892244579783816,0.026,False,False,False,False,False,False,2840,,0.15665294774138572,,0.9336252919385131,1.5343128442764282
preference_contact_aware_trajectory_post_training_v1_candidate,heldout,101,place_blue_cube_blue_pad,medium,True,0.06201639475479665,0.02489224457978333,0.027869968859180676,False,False,False,False,False,False,2840,,0.062249162440988694,,0.8205954321043593,1.5281850099563599
preference_contact_aware_trajectory_post_training_v1_candidate,heldout,102,place_blue_cube_blue_pad,medium,False,0.25322440804809854,0.024892244579783816,0.0460014007364613,False,False,False,False,False,False,2840,,0.034937847303417625,,1.0849811075019165,1.610995888710022
preference_contact_aware_trajectory_post_training_v1_candidate,heldout,103,place_blue_cube_blue_pad,medium,False,0.360875522136255,0.024892244579783816,0.026,False,False,False,False,False,False,2840,,0.13607707592092338,,0.7986079442459093,1.5282678604125977
preference_contact_aware_trajectory_post_training_v1_candidate,heldout,104,place_blue_cube_blue_pad,medium,False,0.12840821462267688,0.024892244579783812,0.026,False,False,False,False,False,False,2840,,0.06570082821670464,,0.8104705605078751,1.5730546712875366
