mode,domain,task,seed,success,strict_grasp_success,attempt_count,retry_executed,gate_decision,terminal_label,recovery_label,target_distance_m
learned_top_front_rule_recovery,nominal,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.008144660575690448
rule_rgb_retry,nominal,move_leftmost_cube_to_bowl,752,True,True,1,False,visual_target_confirmed,,,0.0040892900742348515
learned_top_rule_recovery,nominal,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.0040892900742348515
learned_top_front_rule_recovery,nominal,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.0040892900742348515
rule_rgb_retry,nominal,move_leftmost_cube_to_bowl,753,True,True,1,False,visual_target_confirmed,,,0.007682124135702186
learned_top_rule_recovery,nominal,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.007682124135702186
learned_top_front_rule_recovery,nominal,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.007682124135702186
rule_rgb_retry,nominal,move_leftmost_cube_to_bowl,754,True,True,1,False,visual_target_confirmed,,,0.00741236770178891
learned_top_rule_recovery,nominal,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.00741236770178891
learned_top_front_rule_recovery,nominal,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.00741236770178891
rule_rgb_retry,mild_contact_shift,move_leftmost_cube_to_bowl,750,True,True,1,False,visual_target_confirmed,,,0.007993360529814492
learned_top_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,750,True,True,1,False,accept_terminal,complete,accept,0.007993360529814492
learned_top_front_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,750,True,True,1,False,accept_terminal,complete,accept,0.007993360529814492
rule_rgb_retry,mild_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,visual_target_confirmed,,,0.008026706871196974
learned_top_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.008026706871196974
learned_top_front_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.008026706871196974
rule_rgb_retry,mild_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,visual_target_confirmed,,,0.006062162975805602
learned_top_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.006062162975805602
learned_top_front_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.006062162975805602
rule_rgb_retry,mild_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,visual_target_confirmed,,,0.006158173268100094
learned_top_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.006158173268100094
learned_top_front_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.006158173268100094
