version,method,preset,episodes,successes,success_rate,mean_target_distance,mean_ee_object_distance,mean_object_z,mean_contact_count,mean_mean_action_norm,max_action_norm,grasp_successes,out_of_table,stop_reasons,action_alpha,max_arm_delta,max_gripper_delta,steps,command,interpretation
control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,current_slow,2,0,0.0,0.17786027711299335,0.18808712230289754,0.02489224457009749,27.0,0.7188075890843297,1.518904209136963,0,0,无,0.25,0.012,0.0005,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",该控制档位未形成稳定成功，继续对比更慢档位。
control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,slower,2,0,0.0,0.14342130464300748,0.18163623453440209,0.024582775076368097,26.0,0.7228565596463814,1.5243868827819824,0,0,无,0.15,0.008,0.00035,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",该控制档位未形成稳定成功，继续对比更慢档位。
control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,very_slow,2,0,0.0,0.1490783544834461,0.19249437616380977,0.024892244573188622,27.0,0.7334934470309338,1.5285066366195679,0,0,无,0.08,0.005,0.0002,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",极慢控制仍未成功，说明失败不能只归因于动作太快。
control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,current_slow,2,2,1.0,0.016379430478770794,0.173415428800572,0.024892244579594276,27.0,0.7349585943448711,1.5295464992523193,0,0,无,0.25,0.012,0.0005,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",该控制档位有少量成功，但仍需看批量复测和是否真正夹紧。
control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,slower,2,0,0.0,0.2070891656725246,0.19971827037048206,0.024892244579783812,27.0,0.9258505817660143,1.6333280801773071,0,0,无,0.15,0.008,0.00035,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",该控制档位未形成稳定成功，继续对比更慢档位。
control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,very_slow,2,0,0.0,0.14989471781134134,0.18240606544260943,0.02489224457978382,27.0,0.9255675070722338,1.630326747894287,0,0,无,0.08,0.005,0.0002,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1",极慢控制仍未成功，说明失败不能只归因于动作太快。
control_safety_sweep_v1,torch_act_state_chunk_v1,current_slow,2,1,0.5,0.10220187580040423,0.2799227652960394,0.02489224457978382,27.0,0.67485699096406,1.5195906162261963,0,0,无,0.25,0.012,0.0005,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1",该控制档位有少量成功，但仍需看批量复测和是否真正夹紧。
control_safety_sweep_v1,torch_act_state_chunk_v1,slower,2,0,0.0,0.10144603745046074,0.2043094018192708,0.02489224457978382,27.0,0.6835721299262114,1.5247924327850342,0,0,无,0.15,0.008,0.00035,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1",该控制档位未形成稳定成功，继续对比更慢档位。
control_safety_sweep_v1,torch_act_state_chunk_v1,very_slow,2,0,0.0,0.1457188757055986,0.18230429292129885,0.02489224266085726,27.0,0.7544480967899443,1.5287203788757324,0,0,无,0.08,0.005,0.0002,2840,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1",极慢控制仍未成功，说明失败不能只归因于动作太快。
