version,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_grasp_success,tcp_grasp_lift_success,strict_grasp_lift_success,out_of_table,contact_count,max_contact_count,min_tcp_object_distance,min_tcp_object_distance_while_lifted,attempts,continued_to_place,steps_taken,first_lift_step,first_tcp_lift_step,stage_steps,stage_min_tcp_distance,stage_max_object_z,stage_max_contact_count
contact_stage_subpolicy_v1_candidate,train_range,0,place_blue_cube_blue_pad,medium,True,0.008950673331220295,0.02489224457976521,0.17082306423796523,True,False,False,True,False,False,27.0,29.0,0.026569854395055638,0.028190095842250917,1,True,2840,979,979,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13821236189947975, ""close"": 0.02708118018411188, ""descend"": 0.03200664060590106, ""hold"": 0.11730583971619879, ""lift"": 0.026569854395055638, ""place_descend"": 0.03002714120497108, ""release"": 0.031080592770419285, ""retreat"": 0.03094005430927683, ""transfer"": 0.028813474110411495}","{""approach"": 0.026, ""close"": 0.026615406680852695, ""descend"": 0.025357654379683594, ""hold"": 0.02489224457976521, ""lift"": 0.15985740906041965, ""place_descend"": 0.14309982279140776, ""release"": 0.028744410541288297, ""retreat"": 0.02866535562233321, ""transfer"": 0.17082306423796523}","{""approach"": 27.0, ""close"": 29.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 29.0, ""place_descend"": 28.0, ""release"": 28.0, ""retreat"": 27.0, ""transfer"": 27.0}"
contact_stage_subpolicy_v1_candidate,train_range,1,place_blue_cube_blue_pad,medium,True,0.02146515279885164,0.024892244579783063,0.19348944105495722,True,False,False,True,False,False,27.0,32.0,0.004797332012973246,0.004972287303236818,1,True,2840,921,921,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13606022740067134, ""close"": 0.0048895939447757015, ""descend"": 0.01416988869370821, ""hold"": 0.11871763142155131, ""lift"": 0.004797332012973246, ""place_descend"": 0.005991963786895348, ""release"": 0.006367445448068169, ""retreat"": 0.018578712572018635, ""transfer"": 0.005319149560661428}","{""approach"": 0.026, ""close"": 0.02478166429331747, ""descend"": 0.024892244579783812, ""hold"": 0.024892244579783063, ""lift"": 0.1822850394259317, ""place_descend"": 0.16854594488985306, ""release"": 0.052832557018832486, ""retreat"": 0.031219338665536587, ""transfer"": 0.19348944105495722}","{""approach"": 27.0, ""close"": 32.0, ""descend"": 28.0, ""hold"": 27.0, ""lift"": 32.0, ""place_descend"": 29.0, ""release"": 29.0, ""retreat"": 27.0, ""transfer"": 30.0}"
contact_stage_subpolicy_v1_candidate,train_range,2,place_blue_cube_blue_pad,medium,True,0.012718978048511834,0.02489224457978366,0.22606216652536557,True,False,False,True,False,False,27.0,31.0,0.02538850083599052,0.026500209615866948,1,True,2840,945,945,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.12635133954651093, ""close"": 0.02634102284113447, ""descend"": 0.03189401589298741, ""hold"": 0.11752689985206273, ""lift"": 0.026129047725691044, ""place_descend"": 0.026500209615866948, ""release"": 0.02538850083599052, ""retreat"": 0.02555359982578905, ""transfer"": 0.02652343410305517}","{""approach"": 0.026, ""close"": 0.0241861360696628, ""descend"": 0.024892244579783816, ""hold"": 0.02489224457978366, ""lift"": 0.17187539871097496, ""place_descend"": 0.15648133734337222, ""release"": 0.028595674037538845, ""retreat"": 0.027110399519386964, ""transfer"": 0.22606216652536557}","{""approach"": 27.0, ""close"": 31.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 31.0, ""place_descend"": 30.0, ""release"": 30.0, ""retreat"": 27.0, ""transfer"": 27.0}"
contact_stage_subpolicy_v1_candidate,train_range,3,place_blue_cube_blue_pad,medium,True,0.009480027097318608,0.02489224457978371,0.1744135433458221,True,False,False,True,False,False,27.0,31.0,0.026093119716008153,0.027808837131876426,1,True,2840,973,973,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13353592981098497, ""close"": 0.026603283117597094, ""descend"": 0.03151451661437486, ""hold"": 0.11724262839343577, ""lift"": 0.026093119716008153, ""place_descend"": 0.03033454901413932, ""release"": 0.03740628372833304, ""retreat"": 0.038528763823783965, ""transfer"": 0.02860691810589075}","{""approach"": 0.026, ""close"": 0.02578923238669714, ""descend"": 0.024892244579783666, ""hold"": 0.02489224457978371, ""lift"": 0.1620992220164931, ""place_descend"": 0.14334691811522746, ""release"": 0.024577508104168266, ""retreat"": 0.02515211175692701, ""transfer"": 0.1744135433458221}","{""approach"": 27.0, ""close"": 29.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 29.0, ""place_descend"": 31.0, ""release"": 31.0, ""retreat"": 30.0, ""transfer"": 27.0}"
contact_stage_subpolicy_v1_candidate,train_range,4,place_blue_cube_blue_pad,medium,True,0.009963420458942291,0.024892244579713046,0.1929016649979005,True,False,False,True,False,False,27.0,31.0,0.01183891651424983,0.011914639522585395,1,True,2840,933,933,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13698269036660804, ""close"": 0.012068053017040538, ""descend"": 0.025105727620442487, ""hold"": 0.11720384639284674, ""lift"": 0.01183891651424983, ""place_descend"": 0.012421356957720758, ""release"": 0.012698717869503258, ""retreat"": 0.014861220644804746, ""transfer"": 0.012136550413038133}","{""approach"": 0.026, ""close"": 0.024359854107402875, ""descend"": 0.024892244579783777, ""hold"": 0.024892244579713046, ""lift"": 0.17976206193868238, ""place_descend"": 0.16207466095556042, ""release"": 0.039990627842757975, ""retreat"": 0.030388541722853275, ""transfer"": 0.1929016649979005}","{""approach"": 27.0, ""close"": 31.0, ""descend"": 28.0, ""hold"": 27.0, ""lift"": 31.0, ""place_descend"": 29.0, ""release"": 30.0, ""retreat"": 27.0, ""transfer"": 30.0}"
contact_stage_subpolicy_v1_candidate,heldout,100,place_blue_cube_blue_pad,medium,True,0.027975133323136947,0.024892244573425006,0.18828346003611202,True,False,False,True,False,False,27.0,30.0,0.0273754138344591,0.030427682971172793,1,True,2840,978,978,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.1338818698251201, ""close"": 0.027485634348424725, ""descend"": 0.03216665229349995, ""hold"": 0.1198104474573411, ""lift"": 0.0273754138344591, ""place_descend"": 0.03219885344930147, ""release"": 0.028947142252048023, ""retreat"": 0.028047370792760307, ""transfer"": 0.031262529860866056}","{""approach"": 0.026, ""close"": 0.024147239176604773, ""descend"": 0.024892244579783774, ""hold"": 0.024892244573425006, ""lift"": 0.15379418700153138, ""place_descend"": 0.14312600237134343, ""release"": 0.03901916571219381, ""retreat"": 0.039866410425092466, ""transfer"": 0.18828346003611202}","{""approach"": 27.0, ""close"": 30.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 30.0, ""place_descend"": 28.0, ""release"": 28.0, ""retreat"": 28.0, ""transfer"": 28.0}"
contact_stage_subpolicy_v1_candidate,heldout,101,place_blue_cube_blue_pad,medium,True,0.028249747193287593,0.02489224457977805,0.17106833845274144,True,False,False,True,False,False,27.0,31.0,0.024810114736122185,0.02583965504430292,1,True,2840,976,976,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.14099248010856277, ""close"": 0.025971033041836594, ""descend"": 0.03216811087531896, ""hold"": 0.11997704451773201, ""lift"": 0.024810114736122185, ""place_descend"": 0.04402204715182219, ""release"": 0.044238880346019256, ""retreat"": 0.044437929684912315, ""transfer"": 0.026747347263739167}","{""approach"": 0.026, ""close"": 0.02683430736137113, ""descend"": 0.02524537406501395, ""hold"": 0.02489224457977805, ""lift"": 0.16047821500213347, ""place_descend"": 0.024892244579783823, ""release"": 0.02505805609543189, ""retreat"": 0.0256317405046103, ""transfer"": 0.17106833845274144}","{""approach"": 27.0, ""close"": 29.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 29.0, ""place_descend"": 31.0, ""release"": 29.0, ""retreat"": 29.0, ""transfer"": 28.0}"
contact_stage_subpolicy_v1_candidate,heldout,102,place_blue_cube_blue_pad,medium,True,0.009492059990043942,0.02489224457978314,0.19461540258872842,True,False,False,True,False,False,27.0,31.0,0.022697063516850743,0.023202384429985973,1,True,2840,962,962,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13281755143904017, ""close"": 0.023126571309291327, ""descend"": 0.030599829347064397, ""hold"": 0.11729531849250506, ""lift"": 0.022697063516850743, ""place_descend"": 0.023764909992946583, ""release"": 0.023792092598153843, ""retreat"": 0.02383177069568125, ""transfer"": 0.023744171125372308}","{""approach"": 0.026, ""close"": 0.02364101852335128, ""descend"": 0.024892244579783764, ""hold"": 0.02489224457978314, ""lift"": 0.1642892051010512, ""place_descend"": 0.15331977435574315, ""release"": 0.03270423867913975, ""retreat"": 0.030519567985817786, ""transfer"": 0.19461540258872842}","{""approach"": 27.0, ""close"": 31.0, ""descend"": 30.0, ""hold"": 27.0, ""lift"": 31.0, ""place_descend"": 27.0, ""release"": 30.0, ""retreat"": 27.0, ""transfer"": 28.0}"
contact_stage_subpolicy_v1_candidate,heldout,103,place_blue_cube_blue_pad,medium,True,0.007696338273016987,0.024892244579782598,0.21376294634114368,True,False,False,True,False,False,27.0,32.0,0.024439060989464762,0.02663022973128123,1,True,2840,961,961,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13296575402141134, ""close"": 0.024863191440112748, ""descend"": 0.03085769143930658, ""hold"": 0.11706985468951005, ""lift"": 0.024439060989464762, ""place_descend"": 0.02708381293889376, ""release"": 0.026843670024461076, ""retreat"": 0.02567691518887752, ""transfer"": 0.0270942602749052}","{""approach"": 0.026, ""close"": 0.023472072782638447, ""descend"": 0.024892244579783767, ""hold"": 0.024892244579782598, ""lift"": 0.16654355512519653, ""place_descend"": 0.15201549353779797, ""release"": 0.029535781025264402, ""retreat"": 0.029550035222435284, ""transfer"": 0.21376294634114368}","{""approach"": 27.0, ""close"": 32.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 31.0, ""place_descend"": 29.0, ""release"": 29.0, ""retreat"": 27.0, ""transfer"": 27.0}"
contact_stage_subpolicy_v1_candidate,heldout,104,place_blue_cube_blue_pad,medium,True,0.010238248072922835,0.02489224457978371,0.1755923555527134,True,False,False,True,False,False,27.0,31.0,0.025876573191509853,0.02684545757474819,1,True,2840,968,968,"{""approach"": 260, ""close"": 260, ""descend"": 220, ""hold"": 160, ""lift"": 420, ""place_descend"": 320, ""release"": 220, ""retreat"": 280, ""transfer"": 700}","{""approach"": 0.13892958013015044, ""close"": 0.02709839733320025, ""descend"": 0.03195420682402558, ""hold"": 0.11727033151867099, ""lift"": 0.02662970378818996, ""place_descend"": 0.02821095020642768, ""release"": 0.026584498415317858, ""retreat"": 0.025876573191509853, ""transfer"": 0.027208755554617627}","{""approach"": 0.026, ""close"": 0.024711264861312095, ""descend"": 0.024892244579783746, ""hold"": 0.02489224457978371, ""lift"": 0.16341657099332166, ""place_descend"": 0.14559380535597707, ""release"": 0.027908137442917497, ""retreat"": 0.026407416307245964, ""transfer"": 0.1755923555527134}","{""approach"": 27.0, ""close"": 31.0, ""descend"": 29.0, ""hold"": 27.0, ""lift"": 31.0, ""place_descend"": 29.0, ""release"": 29.0, ""retreat"": 27.0, ""transfer"": 28.0}"
