version,variant,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_standard_grasp_success,tcp_grasp_lift_success,strict_grasp_lift_success,out_of_table,contact_count,max_contact_count,min_tcp_object_distance,min_tcp_object_distance_while_lifted,min_ee_object_distance,min_ee_object_distance_while_lifted,attempts,continued_to_place,steps_taken,first_lift_step,first_tcp_lift_step,first_standard_grasp_step,stage_steps,stage_min_tcp_distance,stage_min_ee_distance,stage_max_object_z,stage_max_contact_count
gripper_timing_contact_probe_v1_candidate,baseline,train_range,0,place_blue_cube_blue_pad,medium,True,0.008950673331220295,0.02489224457976521,0.17082306423796523,True,False,False,True,False,False,27.0,29.0,0.026569854395055638,0.028190095842250917,0.12127505606380617,0.12226913762455391,1,True,2840,979,979,,"{""approach_open"": 260, ""close_timing"": 260, ""descend_timing"": 220, ""hold_open"": 160, ""lift_closed"": 420, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.13821236189947975, ""close_timing"": 0.02708118018411188, ""descend_timing"": 0.03200664060590106, ""hold_open"": 0.11730583971619879, ""lift_closed"": 0.026569854395055638, ""place_descend_closed"": 0.03002714120497108, ""release_open"": 0.031080592770419285, ""retreat_open"": 0.03094005430927683, ""transfer_closed"": 0.028813474110411495}","{""approach_open"": 0.20650993605157789, ""close_timing"": 0.12128544955885935, ""descend_timing"": 0.12561704836733753, ""hold_open"": 0.1745262330692082, ""lift_closed"": 0.12127505606380617, ""place_descend_closed"": 0.12354514323192203, ""release_open"": 0.12293785481118942, ""retreat_open"": 0.12315696341579647, ""transfer_closed"": 0.12285694833633022}","{""approach_open"": 0.026, ""close_timing"": 0.026615406680852695, ""descend_timing"": 0.025357654379683594, ""hold_open"": 0.02489224457976521, ""lift_closed"": 0.15985740906041965, ""place_descend_closed"": 0.14309982279140776, ""release_open"": 0.028744410541288297, ""retreat_open"": 0.02866535562233321, ""transfer_closed"": 0.17082306423796523}","{""approach_open"": 27.0, ""close_timing"": 29.0, ""descend_timing"": 29.0, ""hold_open"": 27.0, ""lift_closed"": 29.0, ""place_descend_closed"": 28.0, ""release_open"": 28.0, ""retreat_open"": 27.0, ""transfer_closed"": 27.0}"
gripper_timing_contact_probe_v1_candidate,baseline,train_range,1,place_blue_cube_blue_pad,medium,True,0.02146515279885164,0.024892244579783063,0.19348944105495722,True,False,False,True,False,False,27.0,32.0,0.004797332012973246,0.004972287303236818,0.1086853513952076,0.11268975818323249,1,True,2840,921,921,,"{""approach_open"": 260, ""close_timing"": 260, ""descend_timing"": 220, ""hold_open"": 160, ""lift_closed"": 420, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.13606022740067134, ""close_timing"": 0.0048895939447757015, ""descend_timing"": 0.01416988869370821, ""hold_open"": 0.11871763142155131, ""lift_closed"": 0.004797332012973246, ""place_descend_closed"": 0.005991963786895348, ""release_open"": 0.006367445448068169, ""retreat_open"": 0.018578712572018635, ""transfer_closed"": 0.005319149560661428}","{""approach_open"": 0.2055010956921197, ""close_timing"": 0.11252888410970843, ""descend_timing"": 0.11810840291514292, ""hold_open"": 0.16320288781161607, ""lift_closed"": 0.11248274380346922, ""place_descend_closed"": 0.11378546387770264, ""release_open"": 0.11209477772090136, ""retreat_open"": 0.1086853513952076, ""transfer_closed"": 0.11309422440591785}","{""approach_open"": 0.026, ""close_timing"": 0.02478166429331747, ""descend_timing"": 0.024892244579783812, ""hold_open"": 0.024892244579783063, ""lift_closed"": 0.1822850394259317, ""place_descend_closed"": 0.16854594488985306, ""release_open"": 0.052832557018832486, ""retreat_open"": 0.031219338665536587, ""transfer_closed"": 0.19348944105495722}","{""approach_open"": 27.0, ""close_timing"": 32.0, ""descend_timing"": 28.0, ""hold_open"": 27.0, ""lift_closed"": 32.0, ""place_descend_closed"": 29.0, ""release_open"": 29.0, ""retreat_open"": 27.0, ""transfer_closed"": 30.0}"
gripper_timing_contact_probe_v1_candidate,baseline,heldout,100,place_blue_cube_blue_pad,medium,True,0.027975133323136947,0.024892244573425006,0.18828346003611202,True,False,False,True,False,False,27.0,30.0,0.0273754138344591,0.030427682971172793,0.11409683125016366,0.11409683125016366,1,True,2840,978,978,,"{""approach_open"": 260, ""close_timing"": 260, ""descend_timing"": 220, ""hold_open"": 160, ""lift_closed"": 420, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.1338818698251201, ""close_timing"": 0.027485634348424725, ""descend_timing"": 0.03216665229349995, ""hold_open"": 0.1198104474573411, ""lift_closed"": 0.0273754138344591, ""place_descend_closed"": 0.03219885344930147, ""release_open"": 0.028947142252048023, ""retreat_open"": 0.028047370792760307, ""transfer_closed"": 0.031262529860866056}","{""approach_open"": 0.19880860749467055, ""close_timing"": 0.12672359543092834, ""descend_timing"": 0.13015204067410918, ""hold_open"": 0.16005069834242863, ""lift_closed"": 0.1218635114211693, ""place_descend_closed"": 0.11618643716821192, ""release_open"": 0.11760031677762828, ""retreat_open"": 0.11556547894870565, ""transfer_closed"": 0.11409683125016366}","{""approach_open"": 0.026, ""close_timing"": 0.024147239176604773, ""descend_timing"": 0.024892244579783774, ""hold_open"": 0.024892244573425006, ""lift_closed"": 0.15379418700153138, ""place_descend_closed"": 0.14312600237134343, ""release_open"": 0.03901916571219381, ""retreat_open"": 0.039866410425092466, ""transfer_closed"": 0.18828346003611202}","{""approach_open"": 27.0, ""close_timing"": 30.0, ""descend_timing"": 29.0, ""hold_open"": 27.0, ""lift_closed"": 30.0, ""place_descend_closed"": 28.0, ""release_open"": 28.0, ""retreat_open"": 28.0, ""transfer_closed"": 28.0}"
gripper_timing_contact_probe_v1_candidate,baseline,heldout,101,place_blue_cube_blue_pad,medium,True,0.028249747193287593,0.02489224457977805,0.17106833845274144,True,False,False,True,False,False,27.0,31.0,0.024810114736122185,0.02583965504430292,0.10436092941103534,0.11581156720364036,1,True,2840,976,976,,"{""approach_open"": 260, ""close_timing"": 260, ""descend_timing"": 220, ""hold_open"": 160, ""lift_closed"": 420, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.14099248010856277, ""close_timing"": 0.025971033041836594, ""descend_timing"": 0.03216811087531896, ""hold_open"": 0.11997704451773201, ""lift_closed"": 0.024810114736122185, ""place_descend_closed"": 0.04402204715182219, ""release_open"": 0.044238880346019256, ""retreat_open"": 0.044437929684912315, ""transfer_closed"": 0.026747347263739167}","{""approach_open"": 0.20914374214164572, ""close_timing"": 0.12050884696434834, ""descend_timing"": 0.12534300103812895, ""hold_open"": 0.15967682927040722, ""lift_closed"": 0.12008384517680122, ""place_descend_closed"": 0.10508604678188595, ""release_open"": 0.10436092941103534, ""retreat_open"": 0.10438478816803494, ""transfer_closed"": 0.11581156720364036}","{""approach_open"": 0.026, ""close_timing"": 0.02683430736137113, ""descend_timing"": 0.02524537406501395, ""hold_open"": 0.02489224457977805, ""lift_closed"": 0.16047821500213347, ""place_descend_closed"": 0.024892244579783823, ""release_open"": 0.02505805609543189, ""retreat_open"": 0.0256317405046103, ""transfer_closed"": 0.17106833845274144}","{""approach_open"": 27.0, ""close_timing"": 29.0, ""descend_timing"": 29.0, ""hold_open"": 27.0, ""lift_closed"": 29.0, ""place_descend_closed"": 31.0, ""release_open"": 29.0, ""retreat_open"": 29.0, ""transfer_closed"": 28.0}"
gripper_timing_contact_probe_v1_candidate,tight_close_hold,train_range,0,place_blue_cube_blue_pad,medium,True,0.012232763873527567,0.024892244579783437,0.17268257606238213,True,False,False,True,False,False,27.0,31.0,0.022836436649865993,0.024079424729693957,0.1172361685584506,0.1174527376033469,1,True,3500,1409,1409,,"{""approach_open"": 260, ""close_timing"": 420, ""descend_timing"": 220, ""hold_after_close"": 280, ""hold_open"": 160, ""lift_closed"": 420, ""lift_hold"": 220, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.13821236189947975, ""close_timing"": 0.025940485794928168, ""descend_timing"": 0.03200664060590106, ""hold_after_close"": 0.02365413416423323, ""hold_open"": 0.11754773083631491, ""lift_closed"": 0.022836436649865993, ""lift_hold"": 0.02543576343985442, ""place_descend_closed"": 0.026940467329314478, ""release_open"": 0.02626514718290791, ""retreat_open"": 0.026043858457882162, ""transfer_closed"": 0.026488646481838064}","{""approach_open"": 0.20650993605157789, ""close_timing"": 0.12083150416183717, ""descend_timing"": 0.12561704836733753, ""hold_after_close"": 0.11964371611441157, ""hold_open"": 0.16848704170807682, ""lift_closed"": 0.11886207692657705, ""lift_hold"": 0.11791282648611014, ""place_descend_closed"": 0.1177398844935782, ""release_open"": 0.11761713286828304, ""retreat_open"": 0.1172361685584506, ""transfer_closed"": 0.1174527376033469}","{""approach_open"": 0.026, ""close_timing"": 0.02662440360548091, ""descend_timing"": 0.025357654379683594, ""hold_after_close"": 0.02397440831789399, ""hold_open"": 0.024892244579783437, ""lift_closed"": 0.1625882568899252, ""lift_hold"": 0.17268257606238213, ""place_descend_closed"": 0.14479393820836425, ""release_open"": 0.031019947950335795, ""retreat_open"": 0.02728648212795238, ""transfer_closed"": 0.1704781459487414}","{""approach_open"": 27.0, ""close_timing"": 30.0, ""descend_timing"": 29.0, ""hold_after_close"": 31.0, ""hold_open"": 27.0, ""lift_closed"": 31.0, ""lift_hold"": 26.0, ""place_descend_closed"": 28.0, ""release_open"": 28.0, ""retreat_open"": 28.0, ""transfer_closed"": 27.0}"
gripper_timing_contact_probe_v1_candidate,tight_close_hold,train_range,1,place_blue_cube_blue_pad,medium,True,0.027295670683314587,0.024892244579782435,0.19258459640657738,True,False,False,True,False,False,27.0,34.0,0.004646295663445986,0.004834507104782146,0.1035387133466223,0.11262092002230842,1,True,3500,1360,1360,,"{""approach_open"": 260, ""close_timing"": 420, ""descend_timing"": 220, ""hold_after_close"": 280, ""hold_open"": 160, ""lift_closed"": 420, ""lift_hold"": 220, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.13606022740067134, ""close_timing"": 0.004785654641218637, ""descend_timing"": 0.01416988869370821, ""hold_after_close"": 0.004710130671830101, ""hold_open"": 0.1198759455811071, ""lift_closed"": 0.004646295663445986, ""lift_hold"": 0.005208552117618057, ""place_descend_closed"": 0.0059354799667081124, ""release_open"": 0.0063111312500236435, ""retreat_open"": 0.022636518502635216, ""transfer_closed"": 0.005379237785791045}","{""approach_open"": 0.2055010956921197, ""close_timing"": 0.11247988907773998, ""descend_timing"": 0.11810840291514292, ""hold_after_close"": 0.11243157915087314, ""hold_open"": 0.1602585338389345, ""lift_closed"": 0.11239473048296045, ""lift_hold"": 0.1130305219129804, ""place_descend_closed"": 0.11376308024933446, ""release_open"": 0.10926918275764022, ""retreat_open"": 0.1035387133466223, ""transfer_closed"": 0.11316470783959574}","{""approach_open"": 0.026, ""close_timing"": 0.02478166429331747, ""descend_timing"": 0.024892244579783812, ""hold_after_close"": 0.024719826912503465, ""hold_open"": 0.024892244579782435, ""lift_closed"": 0.18249202903855632, ""lift_hold"": 0.19258459640657738, ""place_descend_closed"": 0.16868505195222902, ""release_open"": 0.05297018293917438, ""retreat_open"": 0.02898802162046051, ""transfer_closed"": 0.1918870510177357}","{""approach_open"": 27.0, ""close_timing"": 34.0, ""descend_timing"": 28.0, ""hold_after_close"": 34.0, ""hold_open"": 27.0, ""lift_closed"": 34.0, ""lift_hold"": 29.0, ""place_descend_closed"": 29.0, ""release_open"": 29.0, ""retreat_open"": 27.0, ""transfer_closed"": 29.0}"
gripper_timing_contact_probe_v1_candidate,tight_close_hold,heldout,100,place_blue_cube_blue_pad,medium,True,0.03381553648130813,0.02489224455057343,0.18935001468073343,True,False,False,True,False,False,27.0,31.0,0.02514037109061485,0.02840247394887654,0.11158105802239614,0.11158105802239614,1,True,3500,1413,1413,,"{""approach_open"": 260, ""close_timing"": 420, ""descend_timing"": 220, ""hold_after_close"": 280, ""hold_open"": 160, ""lift_closed"": 420, ""lift_hold"": 220, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.1338818698251201, ""close_timing"": 0.026542101989289316, ""descend_timing"": 0.03216665229349995, ""hold_after_close"": 0.025176776160904538, ""hold_open"": 0.12124041087509829, ""lift_closed"": 0.02514037109061485, ""lift_hold"": 0.02912739680960477, ""place_descend_closed"": 0.03126517580993246, ""release_open"": 0.027304708427290356, ""retreat_open"": 0.02584234871709372, ""transfer_closed"": 0.030919848166231004}","{""approach_open"": 0.19880860749467055, ""close_timing"": 0.1266508662447686, ""descend_timing"": 0.13015204067410918, ""hold_after_close"": 0.1266937837646062, ""hold_open"": 0.15739111781187415, ""lift_closed"": 0.12164432080261345, ""lift_hold"": 0.11503845410770852, ""place_descend_closed"": 0.11583398606257875, ""release_open"": 0.11672312782381103, ""retreat_open"": 0.11494274728056023, ""transfer_closed"": 0.11158105802239614}","{""approach_open"": 0.026, ""close_timing"": 0.02414903096730479, ""descend_timing"": 0.024892244579783774, ""hold_after_close"": 0.0233747857415546, ""hold_open"": 0.02489224455057343, ""lift_closed"": 0.1560209614320095, ""lift_hold"": 0.16455688369761598, ""place_descend_closed"": 0.1440754435903015, ""release_open"": 0.040217164132931256, ""retreat_open"": 0.04124139262422198, ""transfer_closed"": 0.18935001468073343}","{""approach_open"": 27.0, ""close_timing"": 31.0, ""descend_timing"": 29.0, ""hold_after_close"": 31.0, ""hold_open"": 27.0, ""lift_closed"": 30.0, ""lift_hold"": 28.0, ""place_descend_closed"": 28.0, ""release_open"": 28.0, ""retreat_open"": 28.0, ""transfer_closed"": 27.0}"
gripper_timing_contact_probe_v1_candidate,tight_close_hold,heldout,101,place_blue_cube_blue_pad,medium,True,0.005626127521261213,0.024892244579783784,0.17450584713254716,True,False,False,True,False,False,27.0,31.0,0.020357675519961344,0.02220908876163667,0.11687402960060911,0.11876164638709882,1,True,3500,1408,1408,,"{""approach_open"": 260, ""close_timing"": 420, ""descend_timing"": 220, ""hold_after_close"": 280, ""hold_open"": 160, ""lift_closed"": 420, ""lift_hold"": 220, ""place_descend_closed"": 320, ""release_open"": 220, ""retreat_open"": 280, ""transfer_closed"": 700}","{""approach_open"": 0.14099248010856277, ""close_timing"": 0.023841178718447976, ""descend_timing"": 0.03216811087531896, ""hold_after_close"": 0.022096366672765023, ""hold_open"": 0.1168774032731953, ""lift_closed"": 0.021458357972820134, ""lift_hold"": 0.02308490620352934, ""place_descend_closed"": 0.02431158361992934, ""release_open"": 0.02239831840206963, ""retreat_open"": 0.020357675519961344, ""transfer_closed"": 0.023473375739394092}","{""approach_open"": 0.20914374214164572, ""close_timing"": 0.11948440569540117, ""descend_timing"": 0.12534300103812895, ""hold_after_close"": 0.11865838454724434, ""hold_open"": 0.1723299771646205, ""lift_closed"": 0.11863489988141303, ""lift_hold"": 0.11877436278258276, ""place_descend_closed"": 0.11882448881843795, ""release_open"": 0.11746659340648995, ""retreat_open"": 0.11687402960060911, ""transfer_closed"": 0.11876164638709882}","{""approach_open"": 0.026, ""close_timing"": 0.026849801806695245, ""descend_timing"": 0.02524537406501395, ""hold_after_close"": 0.024041534485902988, ""hold_open"": 0.024892244579783784, ""lift_closed"": 0.16406162419316964, ""lift_hold"": 0.17450584713254716, ""place_descend_closed"": 0.14572739955045474, ""release_open"": 0.025259722019964702, ""retreat_open"": 0.02489224457829409, ""transfer_closed"": 0.17275258165637486}","{""approach_open"": 27.0, ""close_timing"": 30.0, ""descend_timing"": 29.0, ""hold_after_close"": 31.0, ""hold_open"": 27.0, ""lift_closed"": 31.0, ""lift_hold"": 28.0, ""place_descend_closed"": 29.0, ""release_open"": 30.0, ""retreat_open"": 27.0, ""transfer_closed"": 28.0}"
gripper_timing_contact_probe_v1_candidate,early_close_hold,train_range,0,place_blue_cube_blue_pad,medium,False,0.08431382481488564,0.024892244579783836,0.026744296228660206,False,False,False,False,False,False,27.0,31.0,0.03399697653960232,,0.1261028923145029,,2,False,3200,,,,"{""approach_open"": 520, ""close_timing"": 440, ""descend_timing"": 440, ""hold_after_close"": 520, ""lift_closed"": 840, ""lift_hold"": 440}","{""approach_open"": 0.12724504083095642, ""close_timing"": 0.03453254320191548, ""descend_timing"": 0.03399697653960232, ""hold_after_close"": 0.034427346166289306, ""lift_closed"": 0.03443250312755519, ""lift_hold"": 0.16329048024704637}","{""approach_open"": 0.19258874914543483, ""close_timing"": 0.12630111596379648, ""descend_timing"": 0.1276177198106755, ""hold_after_close"": 0.12610892985218428, ""lift_closed"": 0.1261028923145029, ""lift_hold"": 0.21532607782952462}","{""approach_open"": 0.026, ""close_timing"": 0.024458594478178303, ""descend_timing"": 0.024892244579783823, ""hold_after_close"": 0.023386580338783727, ""lift_closed"": 0.026744296228660206, ""lift_hold"": 0.024892244579783843}","{""approach_open"": 27.0, ""close_timing"": 30.0, ""descend_timing"": 31.0, ""hold_after_close"": 31.0, ""lift_closed"": 31.0, ""lift_hold"": 27.0}"
gripper_timing_contact_probe_v1_candidate,early_close_hold,train_range,1,place_blue_cube_blue_pad,medium,False,0.20857259099774653,0.024892244579783823,0.026,False,False,False,False,False,False,27.0,31.0,0.03377745832612802,,0.12620795734874898,,2,False,3200,,,,"{""approach_open"": 520, ""close_timing"": 440, ""descend_timing"": 440, ""hold_after_close"": 520, ""lift_closed"": 840, ""lift_hold"": 440}","{""approach_open"": 0.11753186701000236, ""close_timing"": 0.03419898575395579, ""descend_timing"": 0.03377745832612802, ""hold_after_close"": 0.03413182463373641, ""lift_closed"": 0.03417225670162453, ""lift_hold"": 0.16156677967617042}","{""approach_open"": 0.18608531981111665, ""close_timing"": 0.12632058272175503, ""descend_timing"": 0.12768380607210258, ""hold_after_close"": 0.1262144807220208, ""lift_closed"": 0.12620795734874898, ""lift_hold"": 0.21652604867045094}","{""approach_open"": 0.026, ""close_timing"": 0.02468143095127123, ""descend_timing"": 0.024892244579783774, ""hold_after_close"": 0.023172238639269344, ""lift_closed"": 0.025961277328941993, ""lift_hold"": 0.024892244579783823}","{""approach_open"": 27.0, ""close_timing"": 30.0, ""descend_timing"": 31.0, ""hold_after_close"": 31.0, ""lift_closed"": 31.0, ""lift_hold"": 27.0}"
