version,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_grasp_success,tcp_grasp_lift_success,strict_grasp_lift_success,out_of_table,steps_taken,stop_reason,min_tcp_object_distance,min_tcp_object_distance_while_lifted,mean_action_norm,max_action_norm
contact_aware_trajectory_knn_v1_candidate,train_range,0,place_blue_cube_blue_pad,medium,True,0.011080914612462196,0.024892244579432468,0.17001587023148476,True,False,False,True,False,False,2840,,0.026769699565234083,0.028309156201433903,0.744631990706417,1.5279970169067383
contact_aware_trajectory_knn_v1_candidate,train_range,1,place_blue_cube_blue_pad,medium,True,0.02383842692505648,0.02489224457964153,0.19016173158311092,True,False,False,True,False,False,2840,,0.007090082299545436,0.007238984082019433,0.7221472901567607,1.5279107093811035
contact_aware_trajectory_knn_v1_candidate,train_range,2,place_blue_cube_blue_pad,medium,True,0.012657038446041394,0.02489224457974034,0.22765124572702106,True,False,False,True,False,False,2840,,0.025797080398493353,0.02636608424012799,1.1170052079877384,1.6738615036010742
contact_aware_trajectory_knn_v1_candidate,train_range,3,place_blue_cube_blue_pad,medium,True,0.044000705853832436,0.024892244579768564,0.17372439552781613,True,False,False,True,False,False,2840,,0.026252186734959156,0.027910568533387012,0.8035073494407493,1.5317468643188477
contact_aware_trajectory_knn_v1_candidate,train_range,4,place_blue_cube_blue_pad,medium,True,0.008193515621623248,0.02489224457881145,0.18907973055982186,True,False,False,True,False,False,2840,,0.015418151202127793,0.015578213057772421,0.8096161584619065,1.5316529273986816
contact_aware_trajectory_knn_v1_candidate,heldout,100,place_blue_cube_blue_pad,medium,False,0.2890239496147014,0.024892244579783816,0.026,False,False,False,False,False,False,2840,,0.15633689627126937,,0.9745907897470703,1.534447193145752
contact_aware_trajectory_knn_v1_candidate,heldout,101,place_blue_cube_blue_pad,medium,True,0.06347666905195827,0.02489224457978264,0.028070832487513936,False,False,False,False,False,False,2840,,0.0657374222707146,,0.7627428961261897,1.5281084775924683
contact_aware_trajectory_knn_v1_candidate,heldout,102,place_blue_cube_blue_pad,medium,False,0.3052675200940148,0.02489224457978381,0.0408660152291269,False,False,False,False,False,False,2840,,0.04403613376177414,,1.0465326671239357,1.6274412870407104
contact_aware_trajectory_knn_v1_candidate,heldout,103,place_blue_cube_blue_pad,medium,False,0.360875522136255,0.024892244579783816,0.026,False,False,False,False,False,False,2840,,0.13755920649621076,,0.7853168791868317,1.5321903228759766
contact_aware_trajectory_knn_v1_candidate,heldout,104,place_blue_cube_blue_pad,medium,False,0.12840821462267688,0.024892244579783812,0.026,False,False,False,False,False,False,2840,,0.1251533605002557,,0.965981609174903,1.5320156812667847
