version,split,seed,episodes,successes,success_rate,grasp_successes,out_of_table,mean_target_distance,mean_ee_object_distance,mean_object_z,command,interpretation
preference_trajectory_post_training_v1_ranked_objective_candidate,train_range,0,5,4,0.8,0,0,0.08380108217576301,0.21498546952284148,0.024891964719504184,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 5 --steps 2840 --no-viewer --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 0",有放置成功但没有抓取/抬升，说明偏好权重主要影响目标距离而非真实 grasp。
preference_trajectory_post_training_v1_ranked_objective_candidate,heldout,100,5,0,0.0,0,0,0.2170932536421466,0.20932246908278315,0.024892244579782404,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 100 --episodes 5 --steps 2840 --no-viewer --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 0",heldout 未成功，当前偏好代理没有改善闭环抓取。
