视频类型,版本,结果,视频文件,元数据文件,ffprobe可播放,元数据存在,宽度,高度,fps,帧数,视频时长秒,索引时长秒,时长偏差秒,时长通过,分辨率通过,审计状态,说明
语言/空间泛化片段,object_language_action_head_lite_v1,success=False,outputs/videos/object_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/object_language_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,reward_weighted_action_head_lite_v1,success=False,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.mp4,outputs/videos/reward_weighted_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,phase_conditioned_action_head_lite_v1,success=False,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.mp4,outputs/videos/phase_conditioned_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,adapter_action_head_lite_v1,success=False,outputs/videos/adapter_action_head_lite_v1_language_seed200.mp4,outputs/videos/adapter_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,lora_action_head_lite_v1,success=False,outputs/videos/lora_action_head_lite_v1_language_seed200.mp4,outputs/videos/lora_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,vision_language_action_head_lite_v1,success=False,outputs/videos/vision_language_action_head_lite_v1_language_seed200.mp4,outputs/videos/vision_language_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,clip_action_head_lite_v1,success=False,outputs/videos/clip_action_head_lite_v1_language_seed200.mp4,outputs/videos/clip_action_head_lite_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,multi_task_object_action_head_lite_v1,success=False,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.mp4,outputs/videos/multi_task_object_action_head_lite_v1_language_seed400.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
语言/空间泛化片段,torch_diffusion_policy_state_chunk_v1,success=False,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_language_seed200.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,clip_core_v2_multitask_v1,success=False,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_core_v2_multitask_v1_leftmost_cube_seed420.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
